order_id,customer_id,order_date,order_amount,order_status,product_category
892a07a4-d252-4775-85e0-73077143e1c6,966,2024-11-27,317.64,Cancelled,Home & Garden
ae160758-e187-47b2-9350-032f88f55491,345,2023-03-27,645.87,Completed,Home & Garden
7c50456e-6123-45cc-aa19-128bef3754d6,503,2024-03-31,880.86,Pending,Clothing
c788b56b-3716-4cd9-a827-d4dc401ba00c,385,2023-08-09,876.83,Cancelled,Home & Garden
925ab5b1-adb1-4302-a70b-1c2db724e02b,817,2023-04-19,264.53,Pending,Home & Garden
d95500d8-bcde-4e12-a2e5-bfc1e3d61c24,759,2023-04-20,517.9,Cancelled,Clothing
42bdae5f-8f5e-45c1-9537-05cb135868ae,444,2024-10-07,890.04,Pending,Home & Garden
45416b15-70c5-4a0b-a11c-978fec84d457,103,2023-09-24,573.23,Completed,Toys
5c33e077-6394-4107-bade-be2c6621ec29,820,2024-05-27,599.8,Pending,Toys
1c4108fe-9266-4646-b81b-8658ae23635b,444,2024-11-26,761.24,Pending,Toys
943fe5a9-b753-4630-aa4b-aa4dab89f391,218,2024-07-04,750.83,Pending,Clothing
48e78ab2-15ff-47a1-8e0f-1a823b9b4c87,460,2024-06-19,467.76,Pending,Home & Garden
9b132eeb-f754-4aae-91c8-4096e374fef1,630,2024-05-06,826.48,Completed,Clothing
3105629b-af0d-4ad0-9bfc-a881a85156f0,103,2023-04-15,990.32,Cancelled,Clothing
003ee1e2-5f82-492b-9400-651073ced890,381,2024-01-21,193.48,Pending,Electronics
a78c0889-8d27-4b33-9b04-5bc3634e4ed5,123,2023-07-23,516.73,Pending,Electronics
1467d114-f5cc-482e-ba3d-2f75a6ffdc5d,646,2023-12-10,396.65,Pending,Electronics
5c4edc32-c241-4ab5-8107-2106002ff695,840,2023-04-14,621.04,Pending,Toys
e2526fd4-f6bf-4642-926d-c753a288c140,581,2023-08-03,748.19,Cancelled,Books
7daf4236-2c06-4d39-92ca-f7a09c3c505b,140,2023-11-25,393.95,Cancelled,Electronics
e34a2491-d0ee-4fef-9a6e-15b97fc520db,250,2024-02-11,771.97,Cancelled,Electronics
ce6e73f2-832e-4e27-b06d-7b03708e1520,854,2023-08-13,463.92,Cancelled,Clothing
963af989-68a8-4c84-8903-4cdc5b7f4f17,875,2023-03-12,553.62,Completed,Home & Garden
17948fe1-5184-43ce-90dc-162151659151,692,2023-05-23,642.71,Pending,Toys
581a525c-791c-4739-b124-baa7d8203f8b,795,2024-03-28,456.63,Cancelled,Books
2ff7cb6f-ebfb-4ad8-8cf0-cab60c4f3204,966,2023-07-20,173.88,Completed,Home & Garden
d1c4f922-5a9d-4c0e-b2e3-b444dcac1cda,61,2024-07-23,922.3,Pending,Toys
cdcea314-e69f-4dd9-9684-cc74162c2650,584,2024-10-01,542.36,Cancelled,Clothing
6bc0f29d-d7fe-4dde-a781-246fb8bef26d,875,2023-09-12,686.23,Pending,Books
e97ddae1-fe43-46b4-929a-5e6f3554f988,629,2023-01-04,802.14,Completed,Home & Garden
4988e17a-4287-41b5-a483-b150f2814d12,5,2023-11-11,555.63,Cancelled,Books
df2c3cfa-cbd5-482a-b9bc-5701ad4ffe2a,709,2023-06-02,729.73,Completed,Toys
a2c85c0c-3b57-40c5-abf9-ff515003bd0b,57,2023-05-23,259.86,Completed,Books
f2f070a7-1785-47c7-a277-7c9ee675c55b,472,2023-11-09,14.51,Completed,Books
51b55b79-bb32-4c1b-b6f3-6072e920225e,545,2023-10-17,34.74,Pending,Home & Garden
487f051a-e0d2-4dce-bf0e-0a3a6a0b111c,503,2023-10-20,673.81,Pending,Books
